Tweet ID,User,Content,Posted At (EST),Posted Date,Posted Time,Imported At (EST),Imported Date,Imported Time
2047802813418254677,WhiteHouse,"SOON. https://t.co/kDt1rKarjM https://t.co/SwFKdgUKYm",4/24/2026, 6:20:11 PM,4/24/2026,6:20:11 PM,4/24/2026, 6:20:54 PM,4/24/2026,6:20:54 PM
2047802444109779190,WhiteHouse,"RT @FLOTUS: https://t.co/5fgJALIOZ1",4/24/2026, 6:18:43 PM,4/24/2026,6:18:43 PM,4/24/2026, 6:20:15 PM,4/24/2026,6:20:15 PM
2047799023625462079,WhiteHouse,"RT @FirstLadyOffice: ""Progress is not granted—you must be the composer. Embolden your influence in the community with a strong vision to th…",4/24/2026, 6:05:08 PM,4/24/2026,6:05:08 PM,4/24/2026, 6:05:54 PM,4/24/2026,6:05:54 PM
2047793855949410713,WhiteHouse,"President Trump is doing what no other President would for the last 47 years - taking decisive action to ensure Iran never obtains a nuclear weapon. @PressSec https://t.co/8HTmyuZRCu",4/24/2026, 5:44:36 PM,4/24/2026,5:44:36 PM,4/24/2026, 5:45:15 PM,4/24/2026,5:45:15 PM
2047766061223686293,WhiteHouse,"https://t.co/CCGAQgGeV5",4/24/2026, 3:54:09 PM,4/24/2026,3:54:09 PM,4/24/2026, 3:55:15 PM,4/24/2026,3:55:15 PM
2047766057725686065,WhiteHouse,"https://t.co/SbTpuVluMd",4/24/2026, 3:54:08 PM,4/24/2026,3:54:08 PM,4/24/2026, 3:55:15 PM,4/24/2026,3:55:15 PM
2047766054441513112,WhiteHouse,"https://t.co/tG3UD4nIFQ",4/24/2026, 3:54:07 PM,4/24/2026,3:54:07 PM,4/24/2026, 3:55:15 PM,4/24/2026,3:55:15 PM
2047766051203506313,WhiteHouse,"https://t.co/QwENJip9UR",4/24/2026, 3:54:06 PM,4/24/2026,3:54:06 PM,4/24/2026, 3:55:15 PM,4/24/2026,3:55:15 PM
2047766048041050541,WhiteHouse,"Will circle back. https://t.co/ZG8Hwczmq5",4/24/2026, 3:54:06 PM,4/24/2026,3:54:06 PM,4/24/2026, 3:55:15 PM,4/24/2026,3:55:15 PM
2047741676953743722,WhiteHouse,"America's elections are for Americans.

PASS THE SAVE AMERICA ACT. https://t.co/gwN3fVkCAI",4/24/2026, 2:17:15 PM,4/24/2026,2:17:15 PM,4/24/2026, 2:20:16 PM,4/24/2026,2:20:16 PM
